[info] welcome to sbt 1.7.1 (N/A Java 18.0.2)
[info] loading settings for project xodus32-5s-build from plugins.sbt ...
[info] loading project definition from /home/cybergai/Repositories/my-repositories/XODUS32-5S/project
[info] loading settings for project root from build.sbt ...
[info] set current project to XODUS32-5S (in build file:/home/cybergai/Repositories/my-repositories/XODUS32-5S/)
PC: 00000000, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000000, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000000, INST: 00000000, REG_NO:   0, REG_VAL: 00000000
PC: 00000000, INST: 00100313, REG_NO:   0, REG_VAL: 00000000
PC: 00000004, INST: 00a00e13, REG_NO:   6, REG_VAL: 00000001
PC: 00000008, INST: 001e8e93, REG_NO:  28, REG_VAL: 0000000a
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000001
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 00000001
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000001
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 00000001
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000002
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 00000002
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000001
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 00000002
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000003
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 00000003
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000002
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 00000003
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000004
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 00000005
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000003
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 00000005
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000005
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 00000008
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000005
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 00000008
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
PC: 0000000c, INST: 01de4a63, REG_NO:  29, REG_VAL: 00000006
PC: 00000010, INST: 005303b3, REG_NO:   0, REG_VAL: 00000000
PC: 00000014, INST: 000302b3, REG_NO:   7, REG_VAL: 0000000d
PC: 00000018, INST: 00038333, REG_NO:   5, REG_VAL: 00000008
PC: 0000001c, INST: fedff0ef, REG_NO:   6, REG_VAL: 0000000d
PC: 00000000, INST: 00000000, REG_NO:   1, REG_VAL: 00000020
PC: 00000008, INST: 001e8e93, REG_NO:   0, REG_VAL: 00000000
